Compartment	Cluster	Trend	OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	RSC1	Transient Enrichment	354765	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora	gifhornensis
RS	RSC1	Transient Enrichment	925200	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	261663	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23	unclassified	unclassified
RS	RSC1	Transient Enrichment	811263	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	833645	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	223655	Bacteria	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	512952	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	206278	Bacteria	Chloroflexi	Ellin6529	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	939546	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus	unclassified
RS	RSC1	Transient Enrichment	1066717	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	873887	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	220353	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	unclassified	unclassified
RS	RSC1	Transient Enrichment	580625	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	249257	Bacteria	Gemmatimonadetes	Gemmatimonadetes	unclassified	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	1037256	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	unclassified	unclassified
RS	RSC1	Transient Enrichment	112836	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23	unclassified	unclassified
RS	RSC1	Transient Enrichment	720511	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	unclassified
RS	RSC1	Transient Enrichment	968261	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
RS	RSC1	Transient Enrichment	594023	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified
