Compartment	Cluster	Trend	OTU_ID	Kingdom.x	Phylum.x	Class.x	Order.x	Family.x	Genus.x	Species.x	Kingdom.y	Phylum.y	Class.y	Order.y	Family.y	Genus.y	Species.y
ES	ESC3	Semi-persistent enrichment	408093	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	unclassified	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	unclassified
ES	ESC3	Semi-persistent enrichment	996116	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium
ES	ESC3	Semi-persistent enrichment	1087325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	unclassified	unclassified	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	354765	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora	gifhornensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Verrucosispora	unclassified
ES	ESC3	Semi-persistent enrichment	1082846	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	1037355	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	1106130	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	unclassified	unclassified	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	268040	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	lanatus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	535678	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Amycolatopsis	coloradensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified
ES	ESC3	Semi-persistent enrichment	17991	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	unclassified	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	unclassified
ES	ESC3	Semi-persistent enrichment	74352	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catellatospora	unclassified	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora	unclassified
ES	ESC3	Semi-persistent enrichment	850971	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	unclassified	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	unclassified
