Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
DS1-WC	1	-0.0642619950502503	0.154173894286649	152.999999999993	-0.416815021424903	0.677397917128663	0.825578711500558
DS2-WC	1	-0.0437195776657732	0.154173894286648	152.99999999997	-0.283573155287155	0.777120867800607	0.880318572513768
DS3-WC	1	0.169354955433303	0.154173894286649	152.999999999968	1.09846713165609	0.273726160860637	0.59307334853138
DS1-WC	2	-0.101314806354093	0.15417389428665	153.000000000003	-0.657146314055754	0.512074157544705	0.713246148008696
DS2-WC	2	-0.147515881550262	0.15417389428665	153.000000000004	-0.956814914955653	0.340170105626144	0.65673989826601
DS3-WC	2	-0.130771435888612	0.15417389428665	153.000000000003	-0.848207386170536	0.397647515188088	0.65673989826601
DS1-WC	3	-0.101456893399432	0.15417389428665	153.000000000003	-0.658067916548813	0.511483427666575	0.713246148008696
DS2-WC	3	-0.0798285569434994	0.15417389428665	153.000000000003	-0.517782581239579	0.605357838122808	0.81410192023412
DS3-WC	3	0.00106513305161302	0.15417389428665	153.000000000003	0.00690864725536902	0.994496740695269	0.994496740695269
DS1-WC	4	-0.0366132917883341	0.15417389428665	153.000000000004	-0.237480488883938	0.812601759243478	0.880318572513768
DS2-WC	4	0.04065903153153	0.15417389428665	153.000000000004	0.263721894810117	0.792349082522755	0.880318572513768
DS3-WC	4	0.210316804623551	0.15417389428665	153.000000000004	1.36415315703524	0.174522689718865	0.522788250322411
DS1-WC	5	-0.155947265715913	0.15417389428665	153.000000000004	-1.01150241055704	0.313372984788811	0.643239284566508
DS2-WC	5	-0.179724907901486	0.15417389428665	153.000000000004	-1.16572853486681	0.245538274857309	0.563293689378533
DS3-WC	5	-0.38415713199714	0.15417389428665	153.000000000003	-2.49171322923771	0.0137794590091167	0.179132967118517
DS1-WC	6	-0.0594823338101167	0.15417389428665	153.000000000003	-0.385813266800691	0.700170893975682	0.827474692880351
DS2-WC	6	-0.141634871225567	0.15417389428665	153.000000000003	-0.918669609280486	0.359714406173162	0.65673989826601
DS3-WC	6	-0.297690933189016	0.15417389428665	153.000000000001	-1.93087769214372	0.0553472245184986	0.315330661510143
DS1-WC	7	-0.00375660334135951	0.15417389428665	153.000000000003	-0.0243660144847545	0.98059240680369	0.994496740695269
DS2-WC	7	0.0687042147755236	0.15417389428665	153.000000000003	0.445628068833654	0.656495852738256	0.825578711500558
DS3-WC	7	-0.296160152985377	0.15417389428665	153.000000000004	-1.92094877252525	0.056597811040282	0.315330661510143
DS1-WC	8	0.104290797470538	0.15417389428665	153.000000000004	0.676449135264329	0.499776862926003	0.713246148008696
DS2-WC	8	-0.120075725227902	0.15417389428665	153.000000000003	-0.778833055904066	0.437280969222398	0.68215831198694
DS3-WC	8	-0.269023147482662	0.15417389428665	153.000000000001	-1.74493320498526	0.0830043363021472	0.359685457309305
DS1-WC	9	-0.183360022199667	0.15417389428665	153.000000000003	-1.18930654925763	0.236161493544763	0.563293689378533
DS2-WC	9	-0.458571442824734	0.15417389428665	153.000000000001	-2.97437802259914	0.00341246557287028	0.0665430786709705
DS3-WC	9	-0.552971847238188	0.15417389428665	153.000000000003	-3.58667626446582	0.000450072786803993	0.0175528386853557
DS1-WC	10	-0.0714963867642885	0.15417389428665	153.000000000004	-0.463738605651084	0.643494103686732	0.825578711500558
DS2-WC	10	-0.00213597906875379	0.15417389428665	153.000000000001	-0.0138543498472085	0.9889642310003	0.994496740695269
DS3-WC	10	-0.197963941352183	0.15417389428665	153.000000000004	-1.28403023266777	0.201072403970158	0.522788250322411
DS1-WC	11	-0.224269856745533	0.15417389428665	153.000000000003	-1.45465519816576	0.14781322157957	0.480392970133603
DS2-WC	11	-0.272306127718077	0.15417389428665	153.000000000004	-1.76622721361496	0.0793520537044768	0.359685457309305
DS3-WC	11	-0.322803020873875	0.15417389428665	153.000000000003	-2.09375927336764	0.0379306311612834	0.295858923058011
DS1-WC	12	-0.199627698427663	0.15417389428665	152.999999999999	-1.29482166453228	0.197332346162226	0.522788250322411
DS2-WC	12	-0.355248789855116	0.15417389428665	152.999999999999	-2.30420844915947	0.0225563588130518	0.219924498427255
DS3-WC	12	-0.252531403431324	0.15417389428665	153.000000000001	-1.63796474493796	0.103484010728656	0.403587641841758
DS1-WC	13	-0.128974884687546	0.15417389428665	153.000000000003	-0.836554627385543	0.40414762970216	0.65673989826601
DS2-WC	13	-0.132358142896413	0.15417389428665	153.000000000003	-0.85849905724198	0.391959893319723	0.65673989826601
DS3-WC	13	-0.225779824790355	0.15417389428665	153.000000000003	-1.46444912632596	0.1451229853786	0.480392970133603
