Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
D1-WC	1	-0.00804889152629398	0.0178109224209047	152.999999999934	-0.451907618038186	0.651975528309591	0.820227277550775
D2-WC	1	-0.00854760777126621	0.0178109224209048	152.999999999953	-0.479908202914512	0.631978024723566	0.820227277550775
D3-WC	1	0.0155690059102188	0.0178109224209048	152.999999999955	0.874126872392938	0.383419165395939	0.623056143768401
D1-WC	2	-0.0010139371890252	0.0178109224209047	152.999999999996	-0.0569278314207433	0.95467696128955	0.95467696128955
D2-WC	2	-0.00192767974468536	0.0178109224209047	152.999999999996	-0.10823020274474	0.913954891994555	0.95467696128955
D3-WC	2	-0.0118004118995496	0.0178109224209047	152.999999999996	-0.662537942768165	0.50862333016141	0.7934523950518
D1-WC	3	-0.0108932889144593	0.0178109224209047	152.999999999996	-0.611607229374814	0.541705367419801	0.806794347571897
D2-WC	3	-0.0035882668208699	0.0178109224209047	152.999999999996	-0.201464401229346	0.840603061060624	0.942477079380607
D3-WC	3	-0.00901298564604782	0.0178109224209047	152.999999999996	-0.506036994213689	0.61355902310177	0.820227277550775
D1-WC	4	0.00113263200659121	0.0178109224209047	152.999999999991	0.0635919903430628	0.949378115107703	0.95467696128955
D2-WC	4	0.0104422242550726	0.0178109224209047	152.999999999994	0.586282058183387	0.55854993293439	0.806794347571897
D3-WC	4	0.00732904314614	0.0178109224209047	152.999999999994	0.411491497910175	0.681288019398102	0.830319773641437
D1-WC	5	-0.0376406340907603	0.0178109224209047	152.999999999996	-2.11334557532974	0.0361936893814696	0.108581068144409
D2-WC	5	-0.0485314929459214	0.0178109224209047	152.999999999998	-2.72481636823929	0.00718335189184714	0.0254682476165489
D3-WC	5	-0.0639190892418285	0.0178109224209047	152.999999999998	-3.58875793916246	0.000446773540896385	0.00348483361899181
D1-WC	6	-0.0345604807412253	0.0178109224209047	152.999999999996	-1.94040936929025	0.0541686320491728	0.132036040619859
D2-WC	6	-0.0565939010741728	0.0178109224209047	152.999999999996	-3.17748288026612	0.00179761616504824	0.0116845050728136
D3-WC	6	-0.063950713689884	0.0178109224209047	152.999999999996	-3.590533504027	0.000443977474013118	0.00348483361899181
D1-WC	7	-0.00346945806788443	0.0178109224209047	152.999999999994	-0.19479384536605	0.845812763546699	0.942477079380607
D2-WC	7	-0.0424107874471084	0.0178109224209047	152.999999999996	-2.38116737835716	0.0184879294278535	0.0600857706405238
D3-WC	7	-0.0868682627196968	0.0178109224209047	152.999999999996	-4.87724670664667	2.67183911348848e-06	9.38331167049921e-05
D1-WC	8	0.0365992085751329	0.0178109224209047	152.999999999998	2.05487440292123	0.0415919194693815	0.115863204236134
D2-WC	8	-0.0209375299792935	0.0178109224209047	152.999999999998	-1.17554439262051	0.241603032469441	0.471125913315411
D3-WC	8	-0.0843290747362287	0.0178109224209047	152.999999999999	-4.73468317605221	4.96143392811605e-06	9.38331167049921e-05
D1-WC	9	-0.0197351595529241	0.0178109224209047	152.999999999998	-1.10803691614315	0.269584695100206	0.477900141314002
D2-WC	9	-0.0527235276742499	0.0178109224209047	152.999999999998	-2.96017951391266	0.00356466505907975	0.0156132071191113
D3-WC	9	-0.0827659515890569	0.0178109224209047	152.999999999998	-4.64692112138528	7.21793205423016e-06	9.38331167049921e-05
D1-WC	10	0.0202412451601472	0.0178109224209047	152.999999999994	1.13645125624656	0.257544620722907	0.477900141314002
D2-WC	10	-0.0176602927539239	0.0178109224209047	152.999999999998	-0.991542848628432	0.322986106875765	0.547672094267602
D3-WC	10	-0.0541533276926306	0.0178109224209047	152.999999999998	-3.04045609839223	0.00277968391463759	0.0154868103815523
D1-WC	11	0.0339958093071712	0.0178109224209047	152.999999999999	1.90870570899069	0.0581724876702489	0.13345453053763
D2-WC	11	-0.00921086824640637	0.0178109224209047	152.999999999999	-0.517147176813007	0.605800229128367	0.820227277550775
D3-WC	11	-0.0505632157078936	0.0178109224209047	152.999999999999	-2.83888809984077	0.00514236449694435	0.020055221538083
D1-WC	12	-0.00424028276768727	0.0178109224209047	152.999999999999	-0.238072047448281	0.812143751055148	0.942477079380607
D2-WC	12	-0.0227839897635946	0.0178109224209047	152.999999999998	-1.27921447442009	0.202758184778206	0.416187852965791
D3-WC	12	-0.0526613203472881	0.0178109224209047	152.999999999998	-2.95668686342036	0.003603047796718	0.0156132071191113
D1-WC	13	0.00239127369051342	0.0178109224209047	152.999999999996	0.134258834775833	0.893374350320307	0.95467696128955
D2-WC	13	-0.0312061722154601	0.0178109224209047	152.999999999999	-1.7520806322099	0.0817633915747877	0.177154015078707
D3-WC	13	-0.0358815331122736	0.0178109224209047	152.999999999998	-2.01458028193752	0.0457005550609797	0.118821443158547
