Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
D1-WC	1	5.51048749999971	5.07904619910656	204.999999999889	1.08494533894357	0.279220109319479	0.37550290563654
D2-WC	1	1.04414583333257	5.0790461991065	204.999999999993	0.205579117101998	0.83732369140226	0.884951696664855
D3-WC	1	12.2844124999992	5.07904619910649	204.999999999928	2.41864555241894	0.0164519262646711	0.0337697433853775
D1-WC	2	5.59568749999999	5.07904619910718	204.999999999999	1.1017201420581	0.271875181238004	0.37550290563654
D2-WC	2	8.70125416666666	5.07904619910718	205.000000000002	1.71316696591502	0.0881936333934923	0.137582068093848
D3-WC	2	9.14280416666667	5.07904619910718	204.999999999999	1.80010257994382	0.0733146419978175	0.119136293246453
D1-WC	3	-0.778529166666649	5.07904619910718	204.999999999999	-0.153282552697296	0.878326234942848	0.901440083230818
D2-WC	3	4.03491250000002	5.07904619910718	205.000000000002	0.794423271973642	0.427867759687888	0.538285246058956
D3-WC	3	2.14773750000004	5.07904619910718	205.000000000002	0.422862367421973	0.672838914715401	0.790773691387264
D1-WC	4	2.79069583333339	5.07904619910718	204.999999999999	0.549452736583486	0.583292834338275	0.710888141849773
D2-WC	4	1.97248750000005	5.07904619910718	205.000000000002	0.388357857494343	0.698154235581045	0.790773691387264
D3-WC	4	4.42626250000006	5.07904619910718	204.999999999999	0.871475140505344	0.384514227735784	0.49986849605652
D1-WC	5	-6.33278750000001	5.07904619910718	204.999999999999	-1.24684581548268	0.213876745036497	0.30893307616383
D2-WC	5	-14.9230708333333	5.07904619910718	205.000000000002	-2.93816402693021	0.00367974292311439	0.0095673316000974
D3-WC	5	-10.3298958333333	5.07904619910718	204.999999999999	-2.03382592486542	0.0432575388952997	0.0803354293769851
D1-WC	6	-14.4683041666666	5.07904619910718	204.999999999999	-2.8486262182868	0.0048384325079676	0.0110999334006316
D2-WC	6	-14.7835958333333	5.07904619910718	205.000000000002	-2.91070316232446	0.00400477651417991	0.00976164275331354
D3-WC	6	-21.4224708333333	5.07904619910718	205.000000000002	-4.2178137377642	3.70132254317386e-05	0.000160390643537534
D1-WC	7	1.02952916666666	5.07904619910718	204.999999999999	0.20270128018281	0.839569558374349	0.884951696664855
D2-WC	7	-27.4524625	5.07904619910718	205.000000000002	-5.40504288085147	1.79162905220694e-07	9.98193329086724e-07
D3-WC	7	-32.2700708333333	5.07904619910718	204.999999999999	-6.35356906952449	1.33602002346923e-09	8.68413015255001e-09
D1-WC	8	-0.171266666666751	5.07904619910718	204.999999999999	-0.0337202419416577	0.973133046703495	0.973133046703495
D2-WC	8	-20.6301000000001	5.07904619910718	205.000000000002	-4.061805935852	6.93105969781328e-05	0.000225259440178932
D3-WC	8	-34.1514916666667	5.07904619910718	205.000000000002	-6.7239970513893	1.72257226673122e-10	1.67950796006294e-09
D1-WC	9	-9.53514999999996	5.07904619910718	204.999999999999	-1.877350515472	0.0618903202816816	0.104944456129808
D2-WC	9	-23.4890749999999	5.07904619910718	205.000000000002	-4.62470197733758	6.63735964282695e-06	3.23571282587814e-05
D3-WC	9	-41.4329333333332	5.07904619910718	205.000000000002	-8.15762088177432	3.39113460297247e-14	6.61271247579632e-13
D1-WC	10	-9.79548749999995	5.07904619910718	204.999999999999	-1.92860767868618	0.0551607361039899	0.0977849412752547
D2-WC	10	-16.3343208333333	5.07904619910718	205.000000000002	-3.21602131443589	0.00151042092330269	0.00453126276990806
D3-WC	10	-42.6662708333332	5.07904619910718	205.000000000002	-8.40044944675505	7.35938275006193e-15	2.87015927252415e-13
D1-WC	11	-1.89356250000002	5.07904619910718	204.999999999999	-0.37281852256687	0.709668697398827	0.790773691387264
D2-WC	11	-12.1256291666667	5.07904619910718	205.000000000002	-2.38738312102736	0.0178772246546593	0.0348605880765857
D3-WC	11	-32.8390875	5.07904619910718	204.999999999999	-6.46560125910502	7.24479320375009e-10	5.65093869892507e-09
D1-WC	12	-13.7527625	5.07904619910718	205.000000000002	-2.707745108209	0.00734615935055217	0.015916678592863
D2-WC	12	-16.1921541666666	5.07904619910718	205.000000000002	-3.1880304946848	0.00165678412827421	0.00461532721447815
D3-WC	12	-35.3738041666666	5.07904619910718	205.000000000002	-6.9646549332205	4.3860395852843e-11	5.70185146086958e-10
D1-WC	13	-7.49082500000003	5.07904619910718	204.999999999999	-1.47484876221776	0.141787322866247	0.21268098429937
D2-WC	13	-20.6519083333334	5.07904619910718	205.000000000002	-4.0660997210389	6.81404629268493e-05	0.000225259440178932
D3-WC	13	-21.08955	5.07904619910718	205.000000000002	-4.15226583363373	4.82801228965649e-05	0.000188292479296603
