phenotype	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	p.adjusted
Root Length	isolate	264.435608491743	132.217804245871	2	98.4149617442789	38.5673893694036	4.28783264450887e-13	6.43174896676331e-12
Root Length	trt	38.9842399997671	38.9842399997671	1	100.794680749584	11.3715423722009	0.00105883954483884	0.0105883954483884
Root Length	isolate:trt	13.0004256389463	6.50021281947314	2	100.034284488037	1.89608532846617	0.155512454199853	0.933074725199118
Shoot Length	isolate	8.48687109971422	4.24343554985711	2	98.1444983170708	0.663767219149109	0.517203880924625	1
Shoot Length	trt	398.42013960837	398.42013960837	1	100.435264858851	62.321726114057	3.74524141210237e-12	5.24333797694331e-11
Shoot Length	isolate:trt	28.8059050613401	14.4029525306701	2	99.7895230773914	2.25294048572068	0.110409718118638	0.772868026830464
Root Weight	isolate	0.000751143891793684	0.000375571945896842	2	93.1089987906789	0.24881878669908	0.780238046240294	1
Root Weight	trt	0.0785892686919739	0.0785892686919739	1	93.4737429310294	52.0658869682346	1.39224851319725e-10	1.6706982158367e-09
Root Weight	isolate:trt	0.0112505538115229	0.00562527690576143	2	93.4126723258798	3.72678148575655	0.0277210733625409	0.249489660262868
Shoot Weight	isolate	0.00736043940858172	0.00368021970429086	2	98.1160160942836	0.487098063476472	0.615884552156162	1
Shoot Weight	trt	0.458710345308202	0.458710345308202	1	98.9230022337524	60.7129298926742	6.70832779825022e-12	8.72082613772528e-11
Shoot Weight	isolate:trt	0.0419044078802122	0.0209522039401061	2	98.7567014951937	2.77314366663779	0.0673353268362658	0.538682614690126
# Roots	isolate	7.80652686375151	3.90326343187576	2	92.999776919292	0.354156432223831	0.702707489252684	1
# Roots	trt	537.259146742771	537.259146742771	1	94.4183164765266	48.7473586937999	4.02046617489284e-10	4.42251279238212e-09
# Roots	isolate:trt	32.8979148737432	16.4489574368716	2	94.2864389940131	1.49247012949997	0.230078961240137	1
