Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
DS1-WC	1	0.0434589824627577	0.0595413972091127	153.000000000029	0.729895240955253	0.466570256237283	0.852999893162015
DS2-WC	1	-0.0100249722902988	0.0595413972091129	153.000000000022	-0.168369785732277	0.866514744271755	0.983301338764856
DS3-WC	1	0.0340131784628827	0.0595413972091127	153.000000000034	0.571252608389865	0.568666595441343	0.852999893162015
DS1-WC	2	-0.0946172778863596	0.0595413972091225	152.999999999999	-1.58910073195029	0.114101952805048	0.444997615939686
DS2-WC	2	-0.107474846412511	0.0595413972091224	152.999999999999	-1.80504407773698	0.073034138971408	0.406881384309402
DS3-WC	2	-0.11934642276626	0.0595413972091225	152.999999999999	-2.00442764799572	0.0467886481570695	0.304126213020952
DS1-WC	3	-0.0373749011158963	0.0595413972091225	152.999999999999	-0.62771286647217	0.531127801201099	0.852999893162015
DS2-WC	3	-0.00681838498981068	0.0595413972091224	152.999999999999	-0.114515031715884	0.90897967267666	0.983301338764856
DS3-WC	3	0.0220946692578013	0.0595413972091224	152.999999999999	0.371080799132072	0.711090667587152	0.894597936641901
DS1-WC	4	-0.0113611806557756	0.0595413972091224	152.999999999999	-0.190811455362268	0.848926273014314	0.983301338764856
DS2-WC	4	0.0261236408014805	0.0595413972091224	152.999999999999	0.438747527367027	0.661463415094614	0.88955424788586
DS3-WC	4	-0.00150221109090233	0.0595413972091224	152.999999999999	-0.0252296916316262	0.979904630124224	0.992772372450955
DS1-WC	5	-0.027136916154566	0.0595413972091224	152.999999999999	-0.455765524938141	0.649204795723135	0.88955424788586
DS2-WC	5	-0.0648058721839284	0.0595413972091225	152.999999999999	-1.08841705471432	0.278122532907185	0.647940207899282
DS3-WC	5	-0.0410578851772794	0.0595413972091225	152.999999999999	-0.68956872196121	0.491509965741872	0.852999893162015
DS1-WC	6	-0.0827290875778333	0.0595413972091224	152.999999999999	-1.38943812969774	0.166718252659002	0.474894851427457
DS2-WC	6	-0.103739836631117	0.0595413972091224	152.999999999999	-1.74231444832845	0.083462848063467	0.406881384309402
DS3-WC	6	-0.189019719961147	0.0595413972091224	152.999999999999	-3.17459328838502	0.00181448069287603	0.0353823735110826
DS1-WC	7	-0.0446023718438414	0.0595413972091224	152.999999999999	-0.74909850850809	0.4549479753752	0.852999893162015
DS2-WC	7	-0.0392897211559743	0.0595413972091225	152.999999999999	-0.659872340885454	0.510327866774895	0.852999893162015
DS3-WC	7	-0.142988994184129	0.0595413972091225	152.999999999999	-2.40150552198028	0.0175274320304257	0.140023509168292
DS1-WC	8	-0.0311554809457891	0.0595413972091225	152.999999999999	-0.523257471375155	0.601552097618088	0.868908585448349
DS2-WC	8	-0.0384839048731928	0.0595413972091225	152.999999999999	-0.646338626183542	0.519028411542998	0.852999893162015
DS3-WC	8	-0.0642251179370589	0.0595413972091225	152.999999999999	-1.07866326534942	0.282435475238148	0.647940207899282
DS1-WC	9	-0.148436125976319	0.0595413972091225	152.999999999999	-2.49299030479547	0.0137319704193406	0.140023509168292
DS2-WC	9	-0.0571981595484534	0.0595413972091224	152.999999999999	-0.960645235575526	0.33824626861099	0.732866915323812
DS3-WC	9	-0.142446992375293	0.0595413972091224	152.999999999999	-2.39240258126607	0.0179517319446528	0.140023509168292
DS1-WC	10	-0.081997876463584	0.0595413972091225	152.999999999999	-1.37715741160036	0.170475074871395	0.474894851427457
DS2-WC	10	-0.000540244493729438	0.0595413972091225	152.999999999999	-0.00907342654106656	0.992772372450955	0.992772372450955
DS3-WC	10	-0.0966599752838173	0.0595413972091225	152.999999999999	-1.62340791137847	0.106560802011003	0.444997615939686
DS1-WC	11	-0.0739698567228678	0.0595413972091225	152.999999999999	-1.24232651885997	0.216016900125671	0.561643940326745
DS2-WC	11	-0.0861551702457712	0.0595413972091225	152.999999999999	-1.44697931664545	0.149948435916561	0.474894851427457
DS3-WC	11	-0.241776941346658	0.0595413972091224	152.999999999999	-4.06065280089892	7.78903132335738e-05	0.00303772221610938
DS1-WC	12	0.011218629066171	0.0595413972091224	152.999999999999	0.188417296066613	0.850799222417763	0.983301338764856
DS2-WC	12	0.00502327691372517	0.0595413972091224	152.999999999999	0.0843661242292034	0.932875629084607	0.983301338764856
DS3-WC	12	-0.0866205820379911	0.0595413972091224	152.999999999999	-1.45479592515709	0.147774295450248	0.474894851427457
DS1-WC	13	0.00779280487079773	0.0595413972091225	152.999999999999	0.130880450175324	0.896041812664643	0.983301338764856
DS2-WC	13	-0.0358882354477253	0.0595413972091225	152.999999999999	-0.602744260798549	0.547571183285101	0.852999893162015
DS3-WC	13	-0.0238651873036755	0.0595413972091225	152.999999999999	-0.400816716138786	0.689114241246443	0.894597936641901
