Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
D1-WC	1	0.0170282303749822	0.00783875831497412	153.00000000008	2.17231220695423	0.0313717214737267	0.111227012497758
D2-WC	1	0.0144683582998765	0.00783875831497414	153.000000000075	1.84574619072489	0.0668617294653586	0.170210360800619
D3-WC	1	0.01409184732617	0.00783875831497415	153.00000000008	1.79771422461778	0.0741942598361671	0.170210360800619
D1-WC	2	0.0103270015611785	0.00783875831497396	153.000000000004	1.31742823878768	0.189664577434971	0.336223569089266
D2-WC	2	0.0245479425784272	0.00783875831497396	153.000000000003	3.13161110370434	0.0020833077229485	0.0107884690465784
D3-WC	2	0.0104790768020714	0.00783875831497396	153.000000000001	1.33682866354659	0.183262938507421	0.336223569089266
D1-WC	3	-0.00588159861818684	0.00783875831497396	153.000000000001	-0.750322740140047	0.454212665642041	0.527537850175487
D2-WC	3	-0.00655082047121931	0.00783875831497396	153.000000000001	-0.835696191666686	0.404629006508064	0.527537850175487
D3-WC	3	-0.00700730333898985	0.00783875831497396	153.000000000003	-0.893930270257749	0.37276321253911	0.527537850175487
D1-WC	4	0.00605025629733059	0.00783875831497396	153.000000000003	0.771838606858578	0.441400528367563	0.527537850175487
D2-WC	4	0.00684827257896177	0.00783875831497396	153.000000000003	0.873642521402896	0.383682126883802	0.527537850175487
D3-WC	4	-0.00654799238429908	0.00783875831497396	153.000000000004	-0.835335409154126	0.404831422387722	0.527537850175487
D1-WC	5	-0.0226644375399039	0.00783875831497396	153.000000000004	-2.8913300588193	0.0043949943215339	0.0190449753933136
D2-WC	5	-0.0262358192309145	0.00783875831497396	153.000000000003	-3.34693559575597	0.00102835070559858	0.00668427958639074
D3-WC	5	-0.0264621204767684	0.00783875831497396	153.000000000001	-3.37580512288779	0.000933027757365619	0.00668427958639074
D1-WC	6	-0.000588806635551976	0.00783875831497396	153.000000000001	-0.0751147837313992	0.940221508870487	0.940221508870487
D2-WC	6	-0.0382604669080771	0.00783875831497396	153.000000000001	-4.88093462902028	2.62897661828213e-06	3.41766960376677e-05
D3-WC	6	-0.0426212178365446	0.00783875831497396	153.000000000001	-5.43724096648414	2.0963249830136e-07	4.08783371687652e-06
D1-WC	7	0.00297464391675271	0.00783875831497396	153.000000000003	0.379478968125655	0.704858397125453	0.785413642511218
D2-WC	7	-0.0158837180286115	0.00783875831497396	153.000000000001	-2.02630536500528	0.0444707983543482	0.133412395063044
D3-WC	7	-0.0460860796136199	0.00783875831497396	153.000000000003	-5.87925762752298	2.49557705564521e-08	9.73275051701632e-07
D1-WC	8	0.0145450717227465	0.00783875831497396	153.000000000003	1.85553261604735	0.0654441323575153	0.170210360800619
D2-WC	8	-0.00742610506042945	0.00783875831497396	153.000000000003	-0.947357318855431	0.344950592461835	0.527537850175487
D3-WC	8	-0.0243995647597992	0.00783875831497396	153.000000000001	-3.11268236363278	0.00221301929160582	0.0107884690465784
D1-WC	9	-0.00597752101511158	0.00783875831497396	152.999999999999	-0.76255967781186	0.446900081908592	0.527537850175487
D2-WC	9	-0.0167405245446501	0.00783875831497396	152.999999999999	-2.13560922176559	0.0343028768500439	0.111484349762643
D3-WC	9	-0.0283160112407194	0.00783875831497396	152.999999999999	-3.61230823849089	0.000411002305646001	0.00400727248004851
D1-WC	10	0.00687003884558831	0.00783875831497396	153.000000000001	0.876419270698121	0.382176100307054	0.527537850175487
D2-WC	10	0.000925279406416226	0.00783875831497396	153.000000000003	0.118039027258783	0.906191558222602	0.940221508870487
D3-WC	10	-0.0105785012745557	0.00783875831497396	153.000000000003	-1.34951236528726	0.179165917888658	0.336223569089266
D1-WC	11	0.0137266455543061	0.00783875831497396	153.000000000001	1.75112498724254	0.0819284263752339	0.177511590479673
D2-WC	11	-0.00170113565520921	0.00783875831497396	153.000000000003	-0.21701595926993	0.828485022138544	0.897525440650089
D3-WC	11	-0.00590787336120273	0.00783875831497396	152.999999999999	-0.75367464129073	0.452202880617736	0.527537850175487
D1-WC	12	-0.00710375980597247	0.00783875831497396	152.999999999998	-0.906235339901032	0.366236270870139	0.527537850175487
D2-WC	12	-0.00580753978234451	0.00783875831497396	152.999999999998	-0.740874963736371	0.459904792460681	0.527537850175487
D3-WC	12	-0.0141577645865343	0.00783875831497396	152.999999999999	-1.80612337026509	0.0728645883782683	0.170210360800619
D1-WC	13	0.000745475304428481	0.00783875831497396	153.000000000001	0.0951011977247008	0.924358886993425	0.940221508870487
D2-WC	13	-0.0185168646204429	0.00783875831497396	153.000000000001	-2.36221910108787	0.0194243437023828	0.075754940439293
D3-WC	13	-0.0130086350242047	0.00783875831497396	153.000000000001	-1.65952750442056	0.0990579003128344	0.203329374326344
