Contrast	Time	estimate	SE	df	t.ratio	p.value	p.adj
D1-WC	1	6.74409999999968	6.29563405672485	205.00000000011	1.07123443631477	0.28532357848324	0.457963557134971
D2-WC	1	3.44066666666604	6.29563405672483	205.000000000152	0.546516305691372	0.585305415826475	0.69172458234038
D3-WC	1	5.66723333333275	6.29563405672467	205.000000000194	0.900184680727956	0.369078219841826	0.479801685794374
D1-WC	2	5.99014166666667	6.29563405672482	204.999999999996	0.951475516634924	0.342483489294609	0.460581244223785
D2-WC	2	7.79763333333333	6.29563405672482	204.999999999999	1.23857791972583	0.216918229713828	0.391434131622291
D3-WC	2	-0.0876666666666672	6.29563405672482	204.999999999999	-0.0139249940318599	0.988903363743629	0.988903363743629
D1-WC	3	-1.42423749999997	6.29563405672482	204.999999999999	-0.226226220769398	0.821250878924814	0.901362901922965
D2-WC	3	1.33702083333336	6.29563405672482	204.999999999999	0.212372704843794	0.832027294082737	0.901362901922965
D3-WC	3	6.1601791666667	6.29563405672482	204.999999999999	0.978484313281609	0.328988141177318	0.460581244223785
D1-WC	4	2.19633333333335	6.29563405672482	204.999999999996	0.348866105231654	0.727547881844946	0.83454021741038
D2-WC	4	4.97217500000001	6.29563405672482	204.999999999999	0.789781450954709	0.430567980672265	0.534407389478281
D3-WC	4	-6.96102499999999	6.29563405672482	204.999999999999	-1.10569085453187	0.27015626824999	0.457963557134971
D1-WC	5	-7.73181249999998	6.29563405672482	204.999999999999	-1.22812292301854	0.220808997325395	0.391434131622291
D2-WC	5	-12.3481041666666	6.29563405672482	204.999999999996	-1.9613757812808	0.051189138272756	0.110659554142577
D3-WC	5	-14.1335041666666	6.29563405672482	204.999999999999	-2.24496913882242	0.0258380082001616	0.0629801449878939
D1-WC	6	-6.46992916666668	6.29563405672482	204.999999999999	-1.02768507641509	0.305309038089981	0.457963557134971
D2-WC	6	-19.3893958333333	6.29563405672482	204.999999999999	-3.07981621209735	0.00235512416027844	0.00765415352090493
D3-WC	6	-19.5802708333334	6.29563405672482	204.999999999999	-3.11013484216387	0.00213612472020619	0.00757353309891286
D1-WC	7	-6.47501249999998	6.29563405672482	204.999999999999	-1.02849251428195	0.304930181263615	0.457963557134971
D2-WC	7	-25.8062958333333	6.29563405672482	204.999999999999	-4.09907812315866	5.9760530322851e-05	0.000332951526084456
D3-WC	7	-35.9311291666667	6.29563405672483	204.999999999999	-5.70730904034773	3.98260431856322e-08	3.88303921059914e-07
D1-WC	8	0.379962499999951	6.29563405672482	204.999999999999	0.060353333210987	0.951933021649408	0.976983890640182
D2-WC	8	-18.6077041666667	6.29563405672482	204.999999999999	-2.95565212320282	0.00348553452820736	0.0104566035846221
D3-WC	8	-47.5366625000001	6.29563405672483	204.999999999999	-7.55073469513729	1.39971823748128e-12	2.7294505630885e-11
D1-WC	9	-15.9800958333333	6.29563405672482	204.999999999999	-2.53828219514504	0.0118826841446247	0.0331017629743116
D2-WC	9	-36.9182958333333	6.29563405672482	204.999999999999	-5.86411082675592	1.7863904950511e-08	2.32230764356643e-07
D3-WC	9	-48.4579291666667	6.29563405672483	204.999999999999	-7.69706890998616	5.78532528689699e-13	2.25627686188983e-11
D1-WC	10	-6.07112083333337	6.29563405672482	204.999999999996	-0.964338266587838	0.336012544830541	0.460581244223785
D2-WC	10	-8.32120416666671	6.29563405672483	204.999999999999	-1.32174203451013	0.187727140937185	0.36606792482751
D3-WC	10	-29.9497541666667	6.29563405672483	204.999999999999	-4.757226023116	3.69845938410882e-06	2.40399859967074e-05
D1-WC	11	-0.805524999999972	6.29563405672482	204.999999999999	-0.127949781188367	0.898314142833173	0.946871664067399
D2-WC	11	-12.2053333333333	6.29563405672482	204.999999999999	-1.93869802840524	0.0539110648386915	0.110659554142577
D3-WC	11	-24.2733916666667	6.29563405672482	204.999999999999	-3.8555912633992	0.000154500116250741	0.000753188066722363
D1-WC	12	-13.8989916666666	6.29563405672482	204.999999999996	-2.20771911795288	0.028372772061958	0.0650904770833154
D2-WC	12	-22.3901916666666	6.29563405672482	204.999999999999	-3.55646333076651	0.000466801093163403	0.00182052426333727
D3-WC	12	-32.4905166666666	6.29563405672482	204.999999999999	-5.16080133850238	5.79292318642929e-07	4.51848008541485e-06
D1-WC	13	-4.88707083333326	6.29563405672482	204.999999999999	-0.776263485027855	0.438488114443718	0.534407389478281
D2-WC	13	-23.9307041666665	6.29563405672482	204.999999999999	-3.80115869998899	0.000189894573875513	0.000822876486793891
D3-WC	13	-14.1489124999999	6.29563405672482	204.999999999999	-2.24741660212706	0.0256785960322074	0.0629801449878939
